,id,brand,title,sold_price,actual_price,url
0,1,NB NICKY BOY,"Pack of 2 Men Printed Hooded Neck Black, Light Green T-...",₹414,"₹1,100",https://www.flipkart.com/nb-nicky-boy-printed-men-hooded-neck-black-light-green-t-shirt/p/itm345925c05d5c5?pid=TSHGZFPAYQB6VZR3&lid=LSTTSHGZFPAYQB6VZR3WCX3UT&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_1&otracker=browse&fm=organic&iid=en_K7iyJ2Ws8hfwv1DgmayHXG0qTi8BWuopT%2B8YmYGa4eR%2FvEu3sY1HoBL9po5qE8MbeB7CXa5cQSUI6WwkeRAGMA%3D%3D&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
1,2,NB NICKY BOY,Men Printed Round Neck Black T-Shirt,₹349,₹649,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm33c8d3171d5e7?pid=TSHGNTZW7S6ZAFD7&lid=LSTTSHGNTZW7S6ZAFD7LO0IYX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_2&otracker=browse&fm=organic&iid=en_K7iyJ2Ws8hfwv1DgmayHXG0qTi8BWuopT%2B8YmYGa4eR1pP5S4JksdJI5mGPtR4agZyEpCv2ZiZEvJ9SXAn6Kyw%3D%3D&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
2,3,NB NICKY BOY,Men Printed Round Neck Light Blue T-Shirt,₹239,₹666,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-light-blue-t-shirt/p/itm0f2494eef7d30?pid=TSHGKRPJNQGMYWN2&lid=LSTTSHGKRPJNQGMYWN2GWNIUZ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&spotlightTagId=BestsellerId_clo%2Fash%2Fank%2Fedy&srno=b_1_3&otracker=browse&fm=organic&iid=0e9d87a4-9195-42f9-8e91-4eaf1f567f72.TSHGKRPJNQGMYWN2.SEARCH&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
3,4,BLIVE,"Pack of 2 Men Striped Round Neck Dark Blue, Red T-Shirt",₹299,"₹1,999",https://www.flipkart.com/blive-striped-men-round-neck-dark-blue-red-t-shirt/p/itm481c77db8af7a?pid=TSHGMGJNKPY6Q3WD&lid=LSTTSHGMGJNKPY6Q3WDWHXMAP&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_4&otracker=browse&fm=organic&iid=0e9d87a4-9195-42f9-8e91-4eaf1f567f72.TSHGMGJNKPY6Q3WD.SEARCH&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
4,5,Smartees,Men Printed Round Neck Dark Blue T-Shirt,₹189,"₹1,299",https://www.flipkart.com/smartees-printed-men-round-neck-dark-blue-t-shirt/p/itm136544d1e2c82?pid=TSHGFS4P9JFABGRB&lid=LSTTSHGFS4P9JFABGRBC5SNWX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_5&otracker=browse&fm=organic&iid=0e9d87a4-9195-42f9-8e91-4eaf1f567f72.TSHGFS4P9JFABGRB.SEARCH&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
5,6,3BROS,Men Solid Polo Neck Green T-Shirt,₹309,₹999,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12?pid=TSHGBBN9JJXDYYQX&lid=LSTTSHGBBN9JJXDYYQX6QRRYG&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_6&otracker=browse&fm=organic&iid=0e9d87a4-9195-42f9-8e91-4eaf1f567f72.TSHGBBN9JJXDYYQX.SEARCH&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
6,7,FARBOT,Men Color Block Round Neck Black T-Shirt,₹189,"₹1,999",https://www.flipkart.com/farbot-color-block-men-round-neck-black-t-shirt/p/itme72f0ce32fb00?pid=TSHG75MPXBFH8KTJ&lid=LSTTSHG75MPXBFH8KTJJQ0VLQ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_7&otracker=browse&fm=organic&iid=0e9d87a4-9195-42f9-8e91-4eaf1f567f72.TSHG75MPXBFH8KTJ.SEARCH&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
7,8,NB NICKY BOY,Men Typography Hooded Neck Black T-Shirt,₹239,₹666,https://www.flipkart.com/nb-nicky-boy-typography-men-hooded-neck-black-t-shirt/p/itm64736f9c28c36?pid=TSHGM98S2DZANDN3&lid=LSTTSHGM98S2DZANDN3YODY13&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_8&otracker=browse&fm=organic&iid=en_K7iyJ2Ws8hfwv1DgmayHXG0qTi8BWuopT%2B8YmYGa4eSBebuSMTwLKORcN2J6JEByFm%2B%2BKnNzMjTXuXHf8oyyIg%3D%3D&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
8,9,BLIVE,Men Printed Round Neck Yellow T-Shirt,₹199,"₹1,999",https://www.flipkart.com/blive-printed-men-round-neck-yellow-t-shirt/p/itm578071f5ac354?pid=TSHGBKQGY2BJGNYE&lid=LSTTSHGBKQGY2BJGNYE0ZHMHN&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_9&otracker=browse&fm=organic&iid=0e9d87a4-9195-42f9-8e91-4eaf1f567f72.TSHGBKQGY2BJGNYE.SEARCH&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
9,10,TRIPR,"Men Solid Round Neck Maroon, White T-Shirt",₹269,"₹1,999",https://www.flipkart.com/tripr-solid-men-round-neck-maroon-white-t-shirt/p/itm027b8fc761979?pid=TSHGNTJXTBTSBPNK&lid=LSTTSHGNTJXTBTSBPNKBADMO0&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=browse&fm=organic&iid=0e9d87a4-9195-42f9-8e91-4eaf1f567f72.TSHGNTJXTBTSBPNK.SEARCH&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
10,11,NB NICKY BOY,Men Printed Hooded Neck Yellow T-Shirt,₹259,₹666,https://www.flipkart.com/nb-nicky-boy-printed-men-hooded-neck-yellow-t-shirt/p/itmee09e63fea7cb?pid=TSHGM98SD6UDWTSR&lid=LSTTSHGM98SD6UDWTSR8ZCQDH&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_11&otracker=browse&fm=organic&iid=en_K7iyJ2Ws8hfwv1DgmayHXG0qTi8BWuopT%2B8YmYGa4eTqB%2FT8xjllSEXEQ8iOYoRbYez4f%2BlySCT4NY75rAlfIQ%3D%3D&ppt=None&ppn=None&ssid=x0fr9mj14g0000001684591805861
